      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
      40.0     385.0     0.0     0.0   -0.2586039536E+06    0.2587260985E+06    0.2025718001E+03    0.2586949188E+06    0.5304370985E+01   -0.1400174547E+03
      40.0     390.0     0.0     0.0   -0.3429783517E+06    0.3431355939E+06    0.2668974964E+03    0.3430937527E+06    0.9146772776E+01   -0.1822606094E+03
      40.0     395.0     0.0     0.0   -0.2706646195E+06    0.2707852249E+06    0.2093412773E+03    0.2707518081E+06    0.8746010557E+01   -0.1412085122E+03
      40.0     400.0     0.0     0.0   -0.5011337242E+06    0.5013509282E+06    0.3850711717E+03    0.5012883621E+06    0.1879252188E+02   -0.2567873100E+03
      40.0     450.0     0.0     0.0   -0.6527652133E+06    0.6530002376E+06    0.4882559403E+03    0.6529074998E+06    0.4744145944E+02   -0.2952948985E+03
      40.0     550.0     0.0     0.0   -0.6760668688E+06    0.6762709214E+06    0.5032378609E+03    0.6761560493E+06    0.7165432122E+02   -0.2666479782E+03
      40.0     650.0     0.0     0.0   -0.5567641875E+06    0.5569172473E+06    0.4174549956E+03    0.5568094369E+06    0.7022393903E+02   -0.1982898829E+03
      40.0     750.0     0.0     0.0   -0.4162159936E+06    0.4163234898E+06    0.3144853309E+03    0.4162345051E+06    0.5894401615E+02   -0.1353668354E+03
      48.0     290.0     0.0     0.0    0.5331306759E+01   -0.5328505519E+01    0.8496190000E-03   -0.5329054334E+01   -0.1044746000E-02   -0.2325522000E-02
      48.0     295.0     0.0     0.0    0.2035676034E+03   -0.2033695575E+03    0.1082315640E+00   -0.2034000498E+03   -0.6653704400E-01   -0.1657420980E+00
      48.0     300.0     0.0     0.0    0.1059219756E+04   -0.1056865490E+04    0.1568708366E+01   -0.1057179024E+04   -0.7296825600E+00   -0.1980876283E+01
      48.0     305.0     0.0     0.0    0.5591841086E+03   -0.5459650043E+03    0.9873001899E+01   -0.5475723926E+03   -0.3826996899E+01   -0.1125912501E+02
      48.0     310.0     0.0     0.0   -0.8215147374E+04    0.8245090730E+04    0.2437278856E+02    0.8241624355E+04   -0.8072956685E+01   -0.2603679666E+02
      48.0     315.0     0.0     0.0   -0.2624335827E+05    0.2629279490E+05    0.4326704638E+02    0.2628717970E+05   -0.1232821476E+02   -0.4418814793E+02
      48.0     320.0     0.0     0.0   -0.5035465403E+05    0.5042058279E+05    0.6178779813E+02    0.5041307349E+05   -0.1500420693E+02   -0.6087004399E+02
      48.0     325.0     0.0     0.0   -0.8521491638E+05    0.8530131645E+05    0.8648161023E+02    0.8529126828E+05   -0.1764977697E+02   -0.8263851658E+02
      48.0     330.0     0.0     0.0   -0.1295325028E+06    0.1296426691E+06    0.1168047414E+03    0.1296294163E+06   -0.2005454484E+02   -0.1089593003E+03
